.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,.,.,w,=,.
#,#,#,#,#,#,#,#,#,#,#,#,.,.,w,=,.,#,#,#,.
.,.,.,.,.,.,.,.,.,.,w,=,.,#,#,#,.,#,X,#,.
.,#,#,#,#,#,#,#,#,#,#,#,.,#,X,#,.,#,R,w,.
.,.,.,.,.,.,.,.,.,#,X,#,.,#,R,w,.,#,#,#,.
#,#,#,#,#,#,#,#,.,#,R,w,.,#,#,#,.,#,X,#,.
.,.,.,.,.,.,.,.,.,#,#,#,.,#,X,#,.,#,R,w,.
.,#,#,#,#,=,=,=,=,#,X,#,.,#,R,w,.,#,#,#,.
.,.,.,.,.,=,.,.,.,#,R,w,.,#,#,#,.,#,X,#,.
#,.,.,.,.,.,.,=,.,#,#,#,.,#,X,#,.,#,R,w,.
#,#,#,=,=,=,.,=,.,#,X,#,.,#,R,w,.,#,#,#,.
#,.,#,.,.,.,.,.,.,#,R,w,.,#,#,#,.,#,X,#,.
.,#,#,.,R,=,=,R,.,#,#,#,.,#,X,#,.,#,R,w,.
#,.,w,=,#,#,#,#,=,#,X,#,.,#,R,w,.,#,#,#,.
.,#,#,.,.,.,.,.,.,#,R,w,.,#,#,#,.,#,X,#,.
#,R,#,.,.,.,.,.,▲,#,#,#,R,#,X,#,R,#,R,w,R
