.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,v,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,#,#,#,#,#,#,#,#,#,#,#,#,#,#,.,.,.,.
.,.,#,.,.,.,.,#,.,.,.,.,.,.,R,#,.,.,.,.
.,.,#,.,#,O,.,#,#,.,.,.,.,#,#,#,.,.,.,.
.,.,#,.,#,O,.,#,O,O,.,O,O,O,O,#,.,.,.,.
.,.,#,.,#,O,.,#,.,.,.,#,.,.,.,#,.,.,.,.
.,.,#,.,#,O,.,#,O,.,O,#,#,#,O,#,.,.,.,.
.,.,#,.,#,O,.,#,#,.,.,.,.,#,#,#,.,.,.,.
.,.,#,.,#,O,.,#,.,#,#,#,#,.,.,#,.,.,.,.
.,.,#,.,#,O,.,#,O,O,.,.,#,#,.,#,.,.,.,.
.,.,#,.,#,w,.,#,.,.,#,#,.,#,.,#,.,.,.,.
.,.,#,.,#,.,.,.,O,#,.,#,.,.,.,#,.,.,.,.
.,.,#,.,#,#,#,#,#,#,#,#,#,#,#,#,.,.,.,.
.,.,#,.,.,.,.,.,.,.,.,.,.,w,R,#,.,.,.,.
.,.,#,#,#,#,#,#,=,#,#,#,#,#,#,#,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
