.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,#
.,.,.,.,.,.,.,#,#,#,#,#,.,.,w,=,.
#,#,#,#,#,#,#,#,.,.,w,=,.,#,#,#,.
.,.,.,.,.,.,w,=,.,#,#,#,.,#,X,#,.
.,#,#,#,#,#,#,#,.,#,X,#,.,#,R,w,.
.,.,.,.,.,#,X,#,.,#,R,w,.,#,#,#,.
.,.,.,.,.,#,R,w,.,#,#,#,.,#,X,#,.
#,#,#,#,.,#,#,#,.,#,X,#,.,#,R,w,.
.,=,=,=,.,#,X,#,.,#,R,w,.,#,#,#,.
R,#,.,.,.,#,R,w,.,#,#,#,.,#,X,#,.
#,#,#,#,.,#,#,#,.,#,X,#,.,#,R,w,.
.,=,=,=,.,#,X,#,.,#,R,w,.,#,#,#,.
R,#,.,.,.,#,R,w,.,#,#,#,.,#,X,#,.
#,#,#,#,.,#,#,#,.,#,X,#,.,#,R,w,.
.,=,=,=,.,#,X,#,.,#,R,w,.,#,#,#,.
R,#,.,.,^,#,R,w,R,#,#,#,R,#,#,#,R
