.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,w,X,X,X,X,X,X
.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,w,w,w,w,#,4,#,#,#,#,X
.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,X,X,X,X,1,#,#,.,.,#,X
.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,w,w,w,w,#,#,.,.,.,#,X
.,.,.,.,.,.,.,.,.,.,.,.,#,3,w,R,R,R,R,w,.,.,.,.,#,X
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,w,w,w,#,#,.,.,.,.,#,X
.,.,.,.,O,O,.,.,#,.,.,.,.,.,#,X,X,1,#,.,.,.,.,.,#,X
R,#,.,.,.,O,O,.,#,.,.,.,5,.,#,w,w,#,#,.,.,.,.,.,#,X
#,#,.,.,.,.,O,O,O,O,.,5,5,1,#,=,#,#,O,.,.,.,.,.,#,X
.,.,.,.,.,.,.,.,.,#,.,△,O,.,.,.,.,.,O,.,1,.,.,1,#,X
#,#,#,#,#,#,w,#,#,#,.,.,#,w,O,O,w,O,O,.,.,.,.,.,#,◄
.,.,.,.,.,2,X,#,X,X,X,X,X,3,O,O,.,.,O,.,.,.,.,.,#,.
.,.,#,#,#,#,#,X,#,#,#,.,#,w,w,.,O,.,O,.,.,.,.,.,5,.
#,#,#,2,#,#,#,#,#,R,w,.,#,O,O,O,O,.,O,.,.,.,.,.,#,.
R,w,X,X,w,.,.,.,.,R,w,.,.,.,.,.,.,.,O,.,.,.,.,.,#,.
O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,#,R,.,.,.,.,.,.,.,.,.,.,.
