.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,▼,.,.,.,1,=,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,=,.,.
.,2,#,#,#,#,#,#,#,#,#,#,#,#,#,#,.,#,.,.
.,.,#,.,.,.,.,#,.,.,.,.,.,.,C,#,.,#,.,.
.,.,#,.,#,O,.,#,#,.,.,.,.,#,#,#,.,#,.,.
.,.,#,.,#,O,.,#,O,O,.,O,O,O,O,#,.,#,.,.
.,.,#,.,#,O,.,#,.,.,.,#,.,.,.,#,.,#,.,.
.,.,#,.,#,O,.,#,O,.,O,#,#,#,O,#,.,#,.,.
.,.,#,.,#,O,.,#,#,.,.,.,.,#,#,#,.,#,.,.
.,.,#,.,#,O,.,#,.,#,#,#,#,.,.,#,.,#,#,#
.,.,#,.,#,O,.,#,O,O,.,.,#,#,.,#,.,=,2,3
.,.,#,.,#,w,.,#,.,.,#,#,.,#,.,#,.,=,X,.
.,.,#,.,#,.,.,.,O,#,.,#,.,.,.,#,.,=,2,.
.,.,#,.,#,#,#,#,#,#,#,#,#,#,#,#,.,#,#,#
.,.,#,.,.,.,.,.,.,.,.,.,.,w,R,#,.,w,.,.
.,3,#,#,#,#,#,#,=,#,#,#,#,#,#,#,.,#,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,#,.,.
.,.,.,4,4,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
